tipo,tempo,localizacao,area_total,area_util,quartos,suite,banheiros,vagas,academia,churrasqueira,elevador,salao_festa,piscina,iptu,condominio,preco
1,,"Rua Sílvia, 879 - Olímpico, São Caetano do Sul - SP",70,,2,1,2,2,0,1,1,0,1,600,515,395000
2,,"Rua Espírito Santo, 598 - Santo Antônio, São Caetano do Sul - SP",117,,3,1,3,1,0,0,1,0,0,1200,780,470000
2,,"Rua Marina Jacomini, 60 - Santa Paula, São Caetano do Sul - SP",110,,3,1,3,1,0,0,1,0,0,1400,917,600000
2,,"Rua Nazaret, 1445 - Barcelona, São Caetano do Sul - SP",155,,3,1,2,2,1,1,1,1,0,1500,650,620000
2,,"Alameda São Caetano, 1345 - Santa Maria, São Caetano do Sul - SP",104,,3,1,2,1,0,0,1,0,0,700,678,480000
2,,"Rua Conselheiro Lafayette, 450 - Santa Paula, São Caetano do Sul - SP",150,,3,3,5,2,1,1,2,1,1,1200,1120,1100000
1,,"Alameda João Galego, 961 - Santa Maria, São Caetano do Sul - SP",220,,3,3,5,5,0,0,0,0,0,1900,0,1100000
2,,"Rua São Jorge, 630, Santo Antônio, São Caetano do Sul",179,,4,4,5,4,1,1,2,1,1,2600,1500,1890000
1,,"Rua Padre Mororó, 85 - São José, São Caetano do Sul - SP",210,,3,1,2,1,0,0,0,0,0,1500,0,470000
1,,"Rua Espírito Santo - Ceramica, São Caetano do Sul - SP",356,,3,3,6,7,0,0,0,0,0,2500,0,1690000
1,,"Rua Aparecida, 200 - Boa Vista, São Caetano do Sul - SP",220,,3,1,4,2,0,0,0,0,0,1200,0,1140000
1,,"Rua Carmem Miranda - Boa Vista, São Caetano do Sul - SP",112,,3,1,2,3,0,0,0,0,0,1500,0,479000
1,,"Rua Giovani Perucchi - Osvaldo Cruz, São Caetano do Sul - SP",350,,3,1,4,4,0,0,0,0,0,400,0,1650000
1,,"Rua Bertolino da Cunha - Osvaldo Cruz, São Caetano do Sul - SP",155,,3,1,2,2,0,1,0,0,1,750,0,430000
1,,"Rua Rio Grande do Sul - Centro, São Caetano do Sul - SP",155,,2,0,2,4,0,0,0,0,0,1100,0,690000
1,,"Rua Henrica Grigoletto Rizzo, 1 - Olímpico, São Caetano do Sul - SP",319,,3,1,3,4,0,0,0,0,0,3800,0,1070000
1,,"Alameda Conde de Porto Alegre - Santa Maria, São Caetano do Sul - SP",152,,3,0,2,1,0,0,0,0,0,1560,0,640000
1,,"Rua Teffé - Santa Maria, São Caetano do Sul - SP",185,,3,2,3,4,0,1,0,0,0,2750,0,1620000
1,,"Rua Matilde - Jardim São Caetano, São Caetano do Sul - SP",376,,4,1,4,2,0,1,0,0,0,313,0,950000
2,,"Rua Samuel Schwarts - Santa Maria, São Caetano do Sul - SP",91,,3,1,1,2,1,0,1,1,1,82,823,620000
1,,"Rua Pelegrino Bernardo - Olímpico, São Caetano do Sul - SP",140,,1,0,1,1,0,0,0,0,0,800,0,460000
1,,"Rua Martim Afonso de Souza - Jardim São Caetano, São Caetano do Sul - SP",347,,4,3,6,0,0,0,0,0,0,1700,0,1750000
1,,"Rua Victor Meirelles - Jardim São Caetano, São Caetano do Sul - SP",400,,1,4,7,8,1,0,0,0,0,480,0,2000000
1,,"Rua Anchieta, 240 - Jardim São Caetano, São Caetano do Sul - SP",540,,4,4,6,4,0,1,0,0,1,4500,0,3500000
1,,"Rua Ribeirão Preto, 150 - Olímpico, São Caetano do Sul - SP",517,,6,3,4,10,0,1,0,0,1,300,0,2150000
1,,"Rua dos Diamantes, 209 - Prosperidade, São Caetano do Sul - SP",330,,3,1,4,4,0,1,0,0,0,2940,0,780000
1,,"Rua Major Aderbal de Oliveira - Centro, São Caetano do Sul - SP",114,,2,0,2,2,0,0,0,0,0,450,0,350000
