,tipo,bairro,area_total,quartos,banheiros,vagas,academia,churrasqueira,elevador,salao_festa,piscina,condominio,preco
0,1,Olímpico,70,2,2,2,0,1,1,0,1,515.0,395000
1,2,Santo Antônio,117,3,3,1,0,0,1,0,0,780.0,470000
2,2,Santa Paula,110,3,3,1,0,0,1,0,0,917.0,600000
3,2,Barcelona,155,3,2,2,1,1,1,1,0,650.0,620000
4,2,Santa Maria,104,3,2,1,0,0,1,0,0,678.0,480000
5,2,Santa Paula,150,3,5,2,1,1,2,1,1,1120.0,1100000
6,1,Santa Maria,220,3,5,5,0,0,0,0,0,0.0,1100000
7,2,Santo Antônio,179,4,5,4,1,1,2,1,1,1500.0,1890000
8,1,São José,210,3,2,1,0,0,0,0,0,0.0,470000
9,1,Ceramica,356,3,6,7,0,0,0,0,0,0.0,1690000
10,1,Boa Vista,220,3,4,2,0,0,0,0,0,0.0,1140000
11,1,Boa Vista,112,3,2,3,0,0,0,0,0,0.0,479000
12,1,Osvaldo Cruz,350,3,4,4,0,0,0,0,0,0.0,1650000
13,1,Osvaldo Cruz,155,3,2,2,0,1,0,0,1,0.0,430000
14,1,Centro,155,2,2,4,0,0,0,0,0,0.0,690000
15,1,Olímpico,319,3,3,4,0,0,0,0,0,0.0,1070000
16,1,Santa Maria,152,3,2,1,0,0,0,0,0,0.0,640000
17,1,Santa Maria,185,3,3,4,0,1,0,0,0,0.0,1620000
18,1,Jardim São Caetano,376,4,4,2,0,1,0,0,0,0.0,950000
19,2,Santa Maria,91,3,1,2,1,0,1,1,1,823.0,620000
20,1,Olímpico,140,1,1,1,0,0,0,0,0,0.0,460000
21,1,Jardim São Caetano,347,4,6,0,0,0,0,0,0,0.0,1750000
22,1,Jardim São Caetano,400,1,7,8,1,0,0,0,0,0.0,2000000
23,1,Jardim São Caetano,540,4,6,4,0,1,0,0,1,0.0,3500000
24,1,Olímpico,517,6,4,10,0,1,0,0,1,0.0,2150000
25,1,Prosperidade,330,3,4,4,0,1,0,0,0,0.0,780000
26,1,Centro,114,2,2,2,0,0,0,0,0,0.0,350000
27,1,Maua,178,2,1,2,0,1,0,0,0,0.0,552000
28,1,Centro,252,2,2,4,0,0,0,0,0,0.0,900000
29,1,Olímpico,154,3,2,2,0,0,0,0,0,0.0,715000
30,1,Jardim São Caetano,450,4,2,4,0,1,0,0,1,0.0,1800000
31,1,Olímpico,210,2,2,2,0,0,0,0,0,0.0,630000
32,1,Maua,152,4,2,3,0,0,0,0,0,0.0,634000
33,1,Jardim São Caetano,306,3,6,7,0,1,0,0,1,0.0,1650000
34,1,Boa Vista,125,2,3,2,0,0,0,0,1,0.0,562000
35,1,Nova Gerti,69,2,1,1,0,0,0,0,0,0.0,390000
36,1,Nova Gerti,193,3,3,5,0,0,0,1,0,0.0,1200000
37,1,Santa Paula,64,2,1,1,0,0,0,0,0,0.0,349000
38,1,Barcelona,250,2,1,2,0,0,0,0,0,0.0,640000
39,1,Nova Gerti,125,3,3,2,0,0,0,0,0,0.0,650000
40,1,Osvaldo Cruz,217,1,1,1,0,0,0,0,0,0.0,650000
41,1,Boa Vista,174,3,5,4,0,1,0,0,0,0.0,1006000
42,1,São José,138,3,2,2,0,0,0,0,0,0.0,660000
43,2,Santa Paula,100,3,2,2,1,1,1,1,1,600.0,485000
44,1,Santa Paula,204,3,2,2,0,1,0,0,0,0.0,850000
45,1,Santa Paula,255,3,3,3,0,0,0,0,0,0.0,1300000
46,1,Jardim São Caetano,224,3,5,6,0,1,0,0,0,0.0,1380000
47,1,Boa Vista,270,3,4,4,0,0,0,0,0,0.0,1195000
48,1,Barcelona,302,2,2,5,0,0,0,0,0,0.0,2800000
49,1,Maua,104,1,2,0,0,0,0,0,0,0.0,550000
50,1,Barcelona,200,3,2,4,0,0,0,0,0,0.0,750000
51,1,Centro,233,2,1,6,0,0,0,0,0,0.0,540000
52,1,Olímpico,490,5,8,6,0,1,0,1,0,0.0,2200000
53,1,Santa Maria,98,2,1,2,0,0,0,0,0,0.0,550000
54,2,Santa Paula,178,4,4,3,0,0,1,0,1,1500.0,958000
55,2,Jardim São Caetano,87,3,3,2,0,1,1,0,1,480.0,830000
56,2,Nova Gerty,140,2,1,1,1,0,1,1,0,430.0,500000
57,2,Cerâmica,56,2,2,2,0,1,1,1,1,105.0,459000
58,2,Cerâmica,68,2,1,1,1,0,0,1,1,500.0,720000
59,2,Santa Maria,64,2,3,3,0,1,1,1,1,520.0,390000
60,2,Cerâmica,65,2, 2-3 , 2-3 ,1,1,1,1,0,19.0,430000
61,2,Jardim Sao Caetano,80,3,2,2,0,1,1,1,1,150.0,495000
